Date,Type,Link
2026-01-30 14:02:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7422958036312379392
2026-01-23 21:36:45,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7419560185544839168
2026-01-23 21:35:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7419383830937149441
2026-01-23 17:39:07,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7419806147873923072
2026-01-14 13:14:47,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7417043654256730112
2026-01-12 16:30:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7416471500515512320
2026-01-12 12:58:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7416457581772279809
2026-01-09 17:06:36,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7415419584926679040
2026-01-09 16:25:10,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7414686005632503808?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7414686005632503808%2C7415072285050728448%29
2026-01-07 21:05:48,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7414514272065646594
2026-01-06 21:22:25,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7414399541476671488
2026-01-05 18:34:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7413987688761995264
2026-01-05 13:18:58,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7413774005410852865
2025-12-31 16:45:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7407547059328831489
2025-12-23 03:34:31,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7409040802049327105
2025-12-19 23:42:54,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7407823283338838016
2025-12-17 18:03:43,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7407112230992826368
2025-12-17 13:39:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7406908648771219457
2025-12-04 20:27:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402433542913421312
2025-12-04 13:10:33,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402191976324145152
2025-12-01 15:36:22,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7401277039909175296
2025-11-28 21:01:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7400274299078483968
2025-11-28 21:00:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7399541542270529536
2025-11-25 20:53:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7398786995197460480?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7398786995197460480%2C7399039139871920128%29
2025-11-25 20:51:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7396871517172764672
2025-11-16 07:04:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7395233878468214784
2025-11-13 09:47:49,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7394411827167645699
2025-11-13 09:47:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7394461288292274176
2025-11-11 05:54:42,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7391505199435202561
2025-11-11 05:54:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7393658318277455873
2025-11-05 14:15:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7391600733839810560?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7391600733839810560%2C7391821453660303360%29
2025-11-05 00:30:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7391512074297790464
2025-11-05 00:14:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7391600733839810560?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7391600733839810560%2C7391623840105181185%29
2025-11-03 16:36:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7390775690813444096
2025-10-31 12:41:38,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7389888904864333824
2025-10-31 12:34:23,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7389685657516027904
2025-10-30 14:30:58,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7389637578792271872
2025-10-29 18:16:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7384874157089390592
2025-10-29 15:32:05,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7389300731909963776
2025-10-29 13:27:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7389050762246434816
2025-10-28 12:24:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7388701535041495041
2025-10-25 12:08:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7386174382181801984
2025-10-25 11:44:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7387696586388205568
2025-10-23 16:09:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7387012483171049472?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7387012483171049472%2C7387105421070835712%29
2025-10-23 12:33:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7386973194009714688
2025-10-20 19:01:55,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7386072134583779328
2025-10-15 16:12:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7384250110966378496
2025-10-09 20:17:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7382127998931509248?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7382127998931509248%2C7382136226469990400%29
2025-10-09 20:17:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7382127998931509248
2025-10-07 13:40:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7381115589982990336
2025-10-07 13:37:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7379991354413690880
2025-10-07 13:37:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7381094151443992576
